James,Waterdresser
Patrick,Parroter
Davis,Dickmaster
Johannus,Panoptikus
Rizarond,Degerthal
Dagothal,Deatheater
Cucu,Coppermaker
Timon,Digeshi
Jeremy,Steals
Shootrinz,Butcher
Jack,Eyeless
Jock,Rumour
Hudson,Hourglass
Charlie,Chairlegged
Ian,Birdlover
Ewing,Seals
Peter,Tabler
Lazarus,Shipmaker
Andrew,Shipwrecker
Cuconius,Cannonfodder
Jeremy,Bootlicker
Dudinga,Bitmaker
Banguba,Smith
Glandy,Cacaphony
John,Salty
Bum,Brewmy
Takabord,Patyolat
Richard,Hope
Prickard,Cope
Samuel,Pushmogi
Paul,Octondi
Buba,Bagoleshyo
Kubok,Skulls
Josef,Bones
Cacao,Dog
Romero,Soap
Fabian,Shitbrix
Zachary,Birdbeard
Tom,Muscus
Babaroe,Wipes
Fred,Fites
Gaspar,Bedbrett
Karl,Spanks
Chris,Dumps
Tony,Womicc
